new_id,hotel_name,overall_rating,total_n_reviews,hotel_class,rooms,location,service,5star,4star,3star,2star,1star
*160,Carlton Inn Midway,4.2,757,2-star hotel,2.7,3.7,4.4,55%,24%,12%,4%,5%
*161,Majestic Hotel,4.2,752,3-star hotel,2.9,4.6,4.5,56%,28%,10%,3%,3%
*162,Chicago Marriott at Medical District/UIC,4.2,660,3-star hotel,4.2,3.9,4.1,51%,32%,10%,4%,3%
*163,Jaslin Hotel,4.2,658,3-star hotel,3.7,3.8,4.2,48%,34%,14%,2%,2%
*164,Hilton Garden Inn Chicago North Shore/Evanston,4.2,628,3-star hotel,3.3,4,3,54%,31%,7%,3%,5%
*165,Hilton Garden Inn Chicago McCormick Place,4.2,619,3-star hotel,3.8,3.2,3.2,61%,22%,6%,4%,7%
*166,Homewood Suites by Hilton Chicago Downtown South Loop,4.2,575,3-star hotel,3.7,4.3,2.7,60%,21%,8%,3%,8%
*167,Hotel Julian,4.2,536,4-star hotel,3.7,4.1,2.5,61%,20%,7%,2%,10%
*168,"Holiday Inn Express & Suites Chicago-Midway Airport, an IHG Hotel",4.2,532,3-star hotel,3.7,4.3,4.3,56%,27%,10%,3%,4%
*169,The Buckingham Hotel,4.3,164,3-star hotel,4,4.2,2.8,62%,23%,8%,1%,6%
*170,Home2 Suites by Hilton Chicago River North,4.2,498,3-star hotel,3.8,4.2,4.2,60%,21%,8%,4%,7%
*171,Regal Inn O'Hare Airport Franklin Park,4.2,483,2-star hotel,3.2,4.5,4.5,53%,27%,12%,4%,4%
*172,The Hotel at Midtown,4.3,154,4-star hotel,5%,5,3.9,64%,21%,6%,5%,4%
*173,Happy Homes,4.4,26,x,4.2,4.8,4.8,100%,0%,0%,0%,0%
*174,Hilton Garden Inn Chicago Central Loop,4.4,78,3-star hotel,x,x,x,68%,19%,7%,3%,3%
*175,Home2 Suites by Hilton Chicago McCormick Place,4.2,201,3-star hotel,3.6,3.9,4,63%,18%,10%,0%,9%
*176,Trump International Hotel & Tower? Chicago,4.1,2628,5-star hotel,4.1,4.8,4.2,66%,13%,5%,2%,14%
*177,Hilton Chicago/Oak Lawn,4.1,2118,4-star hotel,2.9,4.3,3.3,52%,28%,10%,4%,6%
*178,Chicago Getaway Hostel,4.1,1830,1-star hotel,2.6,4.6,4.4,53%,28%,10%,3%,6%
*179,DoubleTree by Hilton Hotel Chicago - North Shore Conference Center,4.1,1816,3-star hotel,1.9,4.2,3.8,48%,30%,11%,5%,6%
*180,Aloft Chicago O'Hare,4.1,1776,3-star hotel,3,4.4,4.1,49%,30%,13%,3%,5%
*181,Hampton Inn Chicago Downtown/Magnificent Mile,4.1,1412,2-star hotel,3.2,4.3,2.7,50%,30%,11%,4%,5%
*182,Hilton Garden Inn Chicago Downtown/Magnificent Mile,4.1,1269,3-star hotel,3,4.4,2.5,49%,32%,10%,4%,5%
*183,Central Loop Hotel,4.1,1231,3-star hotel,2.8,4.6,4.4,47%,33%,14%,4%,2%
*184,Hilton Orrington/Evanston,4.1,1066,4-star hotel,2,4.2,3.6,48%,30%,13%,3%,6%
*185,"Club Quarters Hotel, Chicago, Wacker at Michigan",4.1,926,3-star hotel,2.8,5%,5%,45%,35%,12%,4%,4%
*186,Courtyard by Marriott Chicago Midway Airport,4.1,889,3-star hotel,2.5,3.9,3.8,50%,29%,12%,4%,5%
*187,Courtyard by Marriott Chicago O'Hare,4.1,819,3-star hotel,3.5,4.1,4.1,45%,35%,14%,2%,4%
*188,Sonesta Simply Suites Chicago O'Hare,4.1,767,2-star hotel,4,4.6,4.1,51%,27%,13%,3%,6%
*189,The Villa Toscana Guest House,4.5,48,2-star hotel,x,x,x,74%,16%,4%,4%,2%
*190,City Suites Hotel,4.1,664,3-star hotel,3.3,4.6,3.8,51%,32%,10%,3%,4%
*191,Homewood Suites by Hilton Chicago Downtown/Magnificent Mile,4.1,631,3-star hotel,3.3,4.6,3.5,52%,29%,9%,4%,6%
*192,"Holiday Inn Express & Suites Chicago O'Hare Airport, an IHG Hotel",4.2,151,2-star hotel,4,3.7,4.2,65%,19%,3%,3%,10%
*193,Hilton Garden Inn Chicago Downtown South Loop,4.1,499,3-star hotel,3.8,4.1,1.9,58%,22%,8%,4%,8%
*194,Cicero Hotel,4.2,140,x,4.1,4.3,1.9,62%,19%,7%,2%,10%
*195,Best Western Plus Hyde Park Chicago Hotel,4.2,133,2-star hotel,x,x,x,62%,19%,10%,3%,6%
*196,Wyndham Garden Elk Grove Village/O'Hare,4.1,397,3-star hotel,3.8,3.2,3.9,53%,25%,9%,5%,8%
*197,The Waldorf Astoria Spa,4.5,30,x,x,x,x,88%,6%,0%,0%,6%
*198,The Wheeler Mansion,4.2,101,4-star hotel,3.5,5%,x,63%,20%,5%,3%,9%
*199,Hyatt House Chicago - Medical / University District,4.6,31,3-star hotel,4.2,2.5,x,79%,12%,3%,0%,6%
*200,The Flats at Loyola Station,4.6,30,2-star hotel,x,x,x,84%,10%,0%,0%,6%
*201,The Greenleaf House,4.6,30,x,3.5,4.4,3.1,75%,16%,6%,0%,3%
*202,"Crowne Plaza Chicago Ohare Hotel & Conf Ctr, an IHG Hotel",4,3152,4-star hotel,3,3.6,3.8,46%,32%,11%,3%,8%
*203,DoubleTree by Hilton Hotel Chicago - Magnificent Mile,4,2852,3-star hotel,3.5,4.5,4.2,45%,33%,12%,4%,6%
*204,Chicago South Loop Hotel,4,1982,3-star hotel,2.8,4.4,3.4,46%,30%,14%,5%,5%
*205,Best Western River North Hotel,4,1963,3-star hotel,2.5,4.4,2.2,47%,31%,12%,4%,6%
*206,Comfort Suites Chicago O'Hare Airport,4,1607,3-star hotel,3.5,3.7,5%,48%,29%,13%,4%,6%
*207,The Whitehall Hotel,4,1587,4-star hotel,2.5,5%,2.2,45%,31%,13%,5%,6%
*208,"Holiday Inn Chicago-Elk Grove, an IHG Hotel",4,1179,3-star hotel,3.2,3.7,4,45%,33%,13%,4%,5%
*209,Hotel Chicago West Loop,4,1099,3-star hotel,2.5,4,4,46%,30%,13%,5%,6%
*210,"Club Quarters Hotel, Chicago, Central Loop",4,1062,3-star hotel,2.8,5%,5%,41%,35%,16%,4%,4%
*211,Wyndham Chicago O'Hare,4,1026,3-star hotel,3.6,4.4,2.7,50%,26%,12%,5%,7%
*212,FOUND Hotel Chicago,4,552,3-star hotel,2.7,4.6,3.6,56%,20%,6%,5%,13%
*213,Claridge House,4,501,4-star hotel,2.8,4.5,4.1,55%,21%,10%,5%,9%
*214,Fairfield Inn & Suites by Marriott Chicago Midway Airport,4,454,2-star hotel,2.8,4.2,4,49%,29%,10%,5%,7%
*215,Magnolia Studios,4.6,25,2-star hotel,5%,5,4,80%,8%,8%,4%,0%
*216,Lake & Wells Apartments,4.2,52,x,x,x,x,66%,17%,3%,3%,11%
*217,21c Museum Hotel Chicago,4,165,4-star hotel,3.5,4.6,3.4,66%,10%,4%,7%,13%
*218,Four Points by Sheraton Chicago O'Hare Airport,3.9,2224,3-star hotel,2.2,3.7,3.2,40%,31%,16%,6%,7%
*219,Millennium Knickerbocker Hotel Chicago,3.9,2048,4-star hotel,2.5,4.2,2,47%,26%,12%,5%,10%
*220,"Holiday Inn Chicago O'Hare Area, an IHG Hotel",3.9,1948,3-star hotel,2.6,4,2.8,43%,29%,15%,6%,7%
*221,Comfort Inn Convention Center-Chicago O'Hare Airport,3.9,1137,3-star hotel,3,4.1,3.6,40%,33%,15%,5%,7%
*222,Super 8 by Wyndham Chicago O'Hare Airport,3.9,966,2-star hotel,3.3,4,3,43%,28%,16%,5%,8%
*223,South Shore Inn,4.4,21,x,x,x,x,68%,9%,23%,0%,0%
*224,Hilton Chicago O'Hare Airport,3.8,4356,4-star hotel,2.8,4.3,2.7,41%,28%,15%,7%,9%
*225,Warwick Allerton - Chicago,3.8,2842,4-star hotel,2.5,4.6,2.5,40%,30%,14%,7%,9%
*226,BEST WESTERN Grant Park Hotel,3.8,2265,2-star hotel,2.5,4.2,2.1,38%,33%,15%,6%,8%
*227,"Holiday Inn & Suites Chicago North Shore (Skokie), an IHG Hotel",3.8,1934,3-star hotel,2.5,4.3,1.8,42%,27%,15%,6%,10%
*228,Hotel Felix,3.8,1524,4-star hotel,2.5,5%,4,38%,33%,16%,6%,7%
*229,Chicago Lake Shore Hotel,3.8,1406,3-star hotel,1.8,5%,3.5,39%,29%,16%,6%,10%
*230,"Holiday Inn & Suites Chicago-Downtown, an IHG Hotel",3.8,1280,3-star hotel,2.8,3.9,3.8,40%,30%,16%,6%,8%
*231,Sleep Inn Midway Airport,3.8,930,2-star hotel,2.5,3.8,3.8,40%,29%,16%,5%,10%
